epoch,train_loss,val_mae,val_rmse,lr
224,2.4e-05,0.007372,0.015397,6.25e-05
225,2.4e-05,0.007775,0.015618,6.25e-05
226,2.4e-05,0.007259,0.01534,6.25e-05
227,2.4e-05,0.007262,0.015313,6.25e-05
228,2.4e-05,0.007259,0.015348,6.25e-05
229,2.4e-05,0.008136,0.015763,6.25e-05
230,2.4e-05,0.00748,0.015418,6.25e-05
231,2.4e-05,0.007485,0.015412,6.25e-05
232,2.3e-05,0.007296,0.015345,6.25e-05
233,2.3e-05,0.00733,0.015315,6.25e-05
234,2.3e-05,0.007268,0.015319,6.25e-05
235,2.3e-05,0.007355,0.015357,6.25e-05
236,2.3e-05,0.007256,0.015291,6.25e-05
237,2.3e-05,0.007322,0.015346,6.25e-05
238,2.3e-05,0.00746,0.015423,6.25e-05
239,2.3e-05,0.007254,0.015328,6.25e-05
240,2.4e-05,0.007346,0.015328,6.25e-05
241,2.3e-05,0.007227,0.0153,6.25e-05
242,2.3e-05,0.007253,0.015318,6.25e-05
243,2.3e-05,0.007992,0.01566,6.25e-05
244,2.4e-05,0.0073,0.015318,6.25e-05
245,2.3e-05,0.007256,0.015292,6.25e-05
246,2.3e-05,0.007275,0.015293,6.25e-05
247,2.3e-05,0.007242,0.01532,6.25e-05
248,2.3e-05,0.00724,0.015266,6.25e-05
249,2.3e-05,0.007301,0.015346,6.25e-05
250,2.4e-05,0.007325,0.015336,6.25e-05
251,2.3e-05,0.007524,0.015426,6.25e-05
252,2.3e-05,0.007269,0.015341,3.125e-05
253,2.3e-05,0.007221,0.015288,3.125e-05
254,2.3e-05,0.007245,0.015307,3.125e-05
255,2.3e-05,0.007223,0.015281,3.125e-05
256,2.3e-05,0.007228,0.015274,3.125e-05
257,2.3e-05,0.007245,0.015303,3.125e-05
258,2.3e-05,0.007287,0.01532,3.125e-05
259,2.3e-05,0.007223,0.015275,3.125e-05
260,2.3e-05,0.007282,0.015277,3.125e-05
261,2.3e-05,0.007207,0.015293,3.125e-05
262,2.3e-05,0.007197,0.015265,3.125e-05
